brand,category,dimensions,id,imageurl,longdescr,modelno,orig_techdetails,original_id,price,shipweight,shortdescr,techdetails,title
limited luxury,electronics general,9 5 x 7 5 x 0 4 inches,23956,http i walmartimages com i p 00 62 85 86 49 0062858649573 300x300 jpg,acase ipad 2 piece case with holder for the ipad 2 slim fit pc case covered by premium litchi grain mark leather all ports and buttons are accessible microfiber interior does not scratch the body and the screen of ipad 2 grooves on the slim leather provide multiple angles to choose from,ipd3101 2, li all ports and buttons are accessible li microfiber interior does not scratch the body and the screen of ipad 2 li grooves on the slim leather provide multiple angles to choose from,1882,39 88,1 02,the acase ipad 2 piece case with holder is a must have for your apple ipad 2 the acase ipad 2 piece case with holder for ipad 2 is perfect for daily usages and travels the exterior of this case is made of litchi grain leather which is lightweight and can provide the ipad 2 a total protection from scratches and small impacts ,all ports and buttons are accessible microfiber interior does not scratch the body and the screen of ipad 2 grooves on the slim leather provide multiple angles to choose from,acase ipad 2 piece case with holder
tribeca,electronics general,,23957,http i walmartimages com i mp 00 84 59 33 02 0084593302158 p255075 300x300 jpg,give your iphone some team flavor with the michigan wolverines iphone 3g silicone skin features a soft silicone rubber skin with a laser engraved logo easy access to all ports and touchscreen officially licensed by the ncaa,fva2158,give your iphone some team flavor with the michigan wolverines iphone 3g silicone skin features a soft silicone rubber skin with a laser amp 045 engraved logo that won amp 8217 t fade or rub off ,1883,19 99,,,give your iphone some team flavor with the michigan wolverines iphone 3g silicone skin features a soft silicone rubber skin with a laser t fade or rub off ,michigan wolverines iphone 3g silicone cover
encore,software,6 0 x 5 25 x 0 9 inches,23958,http i walmartimages com i p 00 70 53 81 21 0070538121191 300x300 jpg,prince of persia new prince epic battles open world environments new combat style new deadly acrobatic artistry join a powerful companion to defeat the lieutenants of darkness,21191, li new prince li epic battles li open world environments,1884,10 88,0 1,the critically acclaimed prince of persia franchise returns with an all new epic journey with a new prince new storyline open world environments and new combat style prince of persia brings the franchise to new heights of deadly acrobatic artistry ,new prince epic battles open world environments,prince of persia pc
universal products,stationery amp office machinery,12 25 x 10 31 x 5 94 inches,23959,http i walmartimages com i mp 00 08 75 47 73 0008754773700 p255045 300x300 jpg,ulg2192great for taking files out of the office full height side gusset keeps materials from slipping out back tab is 1 2 higher than front for indexing thumb cut for easy access durable manila construction file jackets sleeves wallets type jacket material s 11 pt manila stock height n a width n a product details pre consumer recycled content percent nom 0 pct file jackets sleeves wallets type jacket post consumer recycled content percent nom 10 pct total recycled content percent nom 10 pct number of pockets 1 global product type file jackets sleeves wallets jacket material s 11 pt manila stock expansion 2 in color s manila size letter product is made of at least partially recycled material green product,,great for taking files out of the office full height side gusset keeps materials from slipping out back tab is 1 2 higher than front for indexing thumb cut for easy access durable manila construction file jackets sleeves wallets type jacket material s 11 pt manila stock height n a width n a product details pre consumer recycled content percent nom 0 pct file jackets sleeves wallets type jacket post consumer recycled content percent nom 10 pct total recycled content percent nom 10 pct number of pockets 1 global product type file jackets sleeves wallets jacket material s 11 pt manila stock expansion 2 in color s manila size letter product is made of at least partially recycled materialgreen product ,1885,29 59,5 93,,great for taking files out of the office full height side gusset keeps materials from slipping out back tab is 1 2 higher than front for indexing thumb cut for easy access durable manila construction file jackets sleeves wallets type jacket material s 11 pt manila stock height n a width n a product details pre consumer recycled content percent nom 0 pct file jackets sleeves wallets type jacket post consumer recycled content percent nom 10 pct total recycled content percent nom 10 pct number of pockets 1 global product type file jackets sleeves wallets jacket material s 11 pt manila stock expansion 2 in color s manila size letter product is made of at least partially recycled materialgreen product,universal manila file jackets with reinforced tabs 2 exp letter
avery,stationery amp office machinery,,23960,http i walmartimages com i p 00 07 27 82 05 0007278205293 300x300 jpg,avery 600pk high visibility round laser labels white print to the edge capability for full bleed designs high visibility multiuse labels ideal for priority messages addressing color coding identification and warning labels for use with laser printers dimensions 1 2 3 diameter,5293, li color white li high visibility li for use with laser printers,1886,12 54,0 667,capture attention with these high visibility labels avery high visibility round laser labels are ideal for priority messages addressing color coding and identification warning labels and more ,color white high visibility for use with laser printers,avery 600pk high visibility round laser labels white
balt,furniture,60 0 x 24 0 x 1 25 inches,23961,http i walmartimages com i p 00 71 76 41 89 0071764189775 300x300 jpg,balt flipper rectangular training table top modular design with radius edge powder coated steel frame with 1 1 4 d model 89775,89775, li modular design li powder coated steel frame li 2 locking casters,1887,359,65,the balt flipper rectangular training table top features a modular and flexible design to give you plenty of room for comfort fold the balt flipper rectangular training table top flat for easy storage ,modular design powder coated steel frame 2 locking casters,balt flipper rectangular training table top teak
philips,mp3,6 9 x 4 7 x 1 2 inches,23962,http i walmartimages com i p 00 60 95 85 19 0060958519659 300x300 jpg,phillips vibe 4gb mp3 video player 1 5 full color display easy navigation play mp3 wma or drm music from subscription services fm radio with rds and 20 presets for more music options on this 4gb philips mp3 video player stores up to 25 hours of music or 4 hours of video,sa2vbe04kc 17, li 1 5 quot full color display li easy navigation li playback mp3 wma or drm music from subscription services,1888,39 98,0 9,the phillips vibe 4gb mp3 video player provides a whole new level of entertainment featuring mp3 wma or drm playback on a 1 5 full color display this device is easy to navigate and operate the 4gb philips mp3 video player allows up to 25 hours of music playback or four hours of video playback ,1 5 full color display easy navigation playback mp3 wma or drm music from subscription services,philips vibe 4gb mp3 video player
logitech,mice,7 9 x 5 3 x 2 6 inches,23963,http i walmartimages com i p 00 09 78 55 06 0009785506816 300x300 jpg,logitech wireless mouse logitech advanced 2 4ghz wireless technology small nano receiver high definition optical tracking ergonomically designed intelligent battery management color dark fleur,910001898, li logitech advanced 2 4ghz wireless technology li high definition optical tracking li ergonomically designed,1889,27 82,0 4,get comfort and control to go with the logitech wireless mouse whether you re in the living room or the coffee shop your hand will love the natural shape and soft rubber grip the cordless usb nano receiver is always ready for use plug it in once and forget about it advanced 2 4 ghz wireless intelligent battery management and high definition optical tracking keep you going ,logitech advanced 2 4ghz wireless technology high definition optical tracking ergonomically designed,logitech wireless mouse dark fleur
chief manufacturing,stationery amp office machinery,,23964,http i walmartimages com i mp 00 84 18 72 00 0084187200279 p255045 300x300 jpg,cf1027visually enhance a suspended ceiling installations by covering the hole where extension column passes through the ceiling tile the escutcheon ring is hinged to open and available in two finishes chief warrants its products excluding electric gas cylinder and one way bearing mechanisms to be free of defects in material and workmanship for 10 years please note this item cannot be shipped to puerto rico,,visually enhance a suspended ceiling installations by covering the hole where extension column passes through the ceiling tile the escutcheon ring is hinged to open and available in two finishes chief warrants its products excluding electric gas cylinder and one way bearing mechanisms to be free of defects in material and workmanship for 10 years please note this item cannot be shipped to puerto rico,1890,11 2,0 1,,visually enhance a suspended ceiling installations by covering the hole where extension column passes through the ceiling tile the escutcheon ring is hinged to open and available in two finishes chief warrants its products excluding electric gas cylinder and one way bearing mechanisms to be free of defects in material and workmanship for 10 years please note this item cannot be shipped to puerto rico,chief manufacturing escutcheon ring
lenovo,memory,7 0 x 2 5 x 1 0 inches,23965,http i walmartimages com i p 00 88 49 42 77 0088494277575 300x300 jpg,lenovo 2gb ddr3 1333mhz sodimm sdram notebook memory module lower power consumption higher bandwidth and increased performance when compared to ddr2 memory higher bandwidth made possible by 8 bit pre fetch buffer error correcting code ecc offers protection from memory errors which results in greater data integrity and system uptime compatible with thinkpad r400 r500 sl410 sl510 t400 t400s t500 w500 w700 w700ds x200 x200s x200 tablet x301 systems and thinkcentre m58 eco ultra small form factors usff,55y3710, li increased performance when compared to ddr2 memory li compatible with listed thinkpad and thinkcentre systems li error correcting code feature,1891,37 92,0 1,increase your system performance with lenovo 2gb ddr3 1333mhz sodimm sdram notebook memory modules these memory modules allow you to take advantage of the thinkstation full potential when working with 3d imaging digital content creation multimedia and other memory intensive applications maximize your computer with lenovo 2gb ddr3 1333mhz sodimm sdram notebook memory modules ,increased performance when compared to ddr2 memory compatible with listed thinkpad and thinkcentre systems error correcting code feature,lenovo 2gb ddr3 1333mhz sodimm sdram notebook memory module
cables unlimited,stereos audio,14 96 x 13 98 x 7 09 inches,23966,http i walmartimages com i p 00 72 45 80 18 0072458018099 300x300 jpg,cables unlimited 2 4ghz wireless indoor outdoor stereo speaker with remote and dual power transmitter 2 4ghz frequency hopping spread spectrum fhss digital transmission dual power transmitter utilizes either ac power or batteries 4 aa batteries not included 32 channel scan tuning between transmitter and receiver 5 2 way 20w weather resistant speaker speaker powered by 6 d batteries not included or by ac adapter mood light effect speaker and remote are water and uv resistant supports stereo audio up to 6 speakers additional speakers purchased separately operating distance up to approximately 150 in open areas less through walls and other obstructions auto volume level control color black includes rf transmitter remote control ac adapter for transmitter ac adapter for speaker and rca to rca cable,spk 24gx, li 32 channel scan tuning between transmitter and receiver li speaker and remote are water and uv resistant li auto volume level control,1892,148,9 77,listen to music just about anywhere with this cables unlimited 2 4ghz wireless indoor outdoor stereo speaker the transmitter delivers a powerful signal through walls or any other obstacles in your home or yard this cables unlimited wireless indoor outdoor stereo speaker with remote and dual power transmitter offers endless installation options without the hassle of running unsightly speaker wire ,32 channel scan tuning between transmitter and receiver speaker and remote are water and uv resistant auto volume level control,cables unlimited 2 4ghz wireless indoor outdoor stereo speaker with remote and dual power transmitter black
lenovo,laptop computers,17 9 x 13 2 x 5 4 inches,23967,http i walmartimages com i p 00 88 59 76 13 0088597613203 300x300 jpg,lenovo ideapad y560 064652yu laptop pc intel core i5 460m processor 2 53ghz 3mb cache 6gb ddr3 system memory expandable up to 8gb gives you the power to handle the most power hungry applications and tons of multimedia work 500gb sata hard drive store 333 000 photos 142 000 songs or 263 hours of hd video and more dual layer dvd burner watch dvd movies on your computer read and write cds and dvds in multiple formats 10 100 1000baset ethernet 802 11b g n wi fi connect to a broadband modem or a wired broadband router with wired ethernet or wirelessly connect to a wi fi signal or hotspot with the 802 11b g n connection built right into your pc 15 6 backup dvd the first week you use the computer what s in the box power supply and power cord 6 cell li ion battery quick start guide and documentation to see the manufacturer s specifications for this product click here to see a list of our pc accessories click here trade in your used computer and electronics for more cash to spend at walmart good for your wallet and the environment click here ,064652u, li intel core i5 460m processor li 6gb memory 500gb hard drive li 15 6 quot vibrantview led widescreen display li webcam 5 in 1 card reader 802 11b g n wi fi li windows 7 home premium,1893,788,9,here s your chance to get your hands on a seriously fun laptop the lenovo ideapad y560 064652yu features a stunning display crisp audio multimedia focused features and the speediest processing available irresistible versatile and built to woo the lenovo ideapad is equipped to handle everything you need for work or play ,intel core i5 460m processor 6gb memory 500gb hard drive 15 6 vibrantview led widescreen display webcam 5 in 1 card reader 802 11b g n wi fi windows 7 home premium,lenovo gray 15 6 ideapad y560 064652yu laptop pc with intel core i5 460m processor windows 7 home premium
evga,electronics general,11 3 x 7 7 x 2 0 inches,23968,http i walmartimages com i p 00 84 33 68 01 0084336801372 300x300 jpg,evga geforce 8400 gs 1gb ddr3 pci express 2 0 graphics card compatibility pci express 2 0 compatible operating systems microsoft windows xp vista windows 7 supports microsoft directx 10 shader model 4 0 nvidia purevideo hd technology nvidia cuda technology opengl support dual link hdcp capability connections dvi hdmi vga 520mhz core clock 1gb ddr3 memory with 600mhz memory clock and 4 8 gb s bandwidth 64 bit memory width 1230mhz shader clock 8 cuda cores includes evga driver software disc,01g p3 1302 lr, li nvidia purevideo hd technology nvidia cuda technology li compatible with microsoft directx 10 li 1gb ddr3 dedicated graphics memory,1894,44 99,0 65,for awesome features at an incredible value the evga geforce 8400 gs graphics card truly delivers with its incredible performance you can watch hd movies and blu ray discs on your pc plus you can play microsoft directx9 and directx 10 games for a seriously accelerated windows experience go with the evga geforce 8400 gs graphics card ,nvidia purevideo hd technology nvidia cuda technology compatible with microsoft directx 10 1gb ddr3 dedicated graphics memory,evga geforce 8400 gs 1gb ddr3 pci express 2 0 graphics card
macsense,electronics general,6 0 x 4 0 x 2 0 inches,23969,http i walmartimages com i p 00 88 53 35 16 0088533516684 300x300 jpg,justmobile xtand go flexible car mount for iphone 3 3g 4 a versatile car mount secures your iphone 4 on windshield or dashboard the innovative folding arm positions iphone at hand length easily rotate between landscape and portrait modes leaving the dock connector free for charging mounted using glue free go sticker or suction cup go buttons allow the stand to be used with other devices like gps navigator music player smartphone or iphone ipod touch,st 169a, li a versatile car mount li the innovative folding arm positions iphone at hand length li mounts using glue free go sticker or suction cup,1895,49 73,0 45,justmobile xtand go is a versatile car mount for your iphone using patented revolutionary technology it mounts to your windshield or dashboard securely and accommodates iphone ipod touch even with a protective case ,a versatile car mount the innovative folding arm positions iphone at hand length mounts using glue free go sticker or suction cup,justmobile xtand go flexible car mount for iphone 3 3g 4
q see,garden general,15 5 x 13 0 x 5 2 inches,23970,http i walmartimages com i p 00 64 54 39 23 0064543923107 300x300 jpg,q see qt426 16 channel digital video recorder advanced h 264 video compression cif real time recording d1 recording option stream live video directly to a remote pc iphone ipad android or any other supported smartphone running windows mobile pro or symbian os on 3g networks trigger email alerts on motion detection events back up important video from the dvr to a pc or flash drive pre installed 500gb hard drive dvr supports up to 16 cameras,qt426 5, li advanced h 264 video compression li supports up to 16 cameras li 500gb hard drive,1896,612 24,7 85,the q see qt426 16 channel digital video recorder serves as an extra pair of eyes when you are away from your home or business the qt426 uses the latest technology with h 264 video compression providing excellent image quality while using minimum hard drive space this dvr is great for connecting to a vga lcd or tv to get crisp clear images you can conveniently manage multiple cameras from anywhere in the world with remote internet monitoring ,advanced h 264 video compression supports up to 16 cameras 500gb hard drive,q see qt426 16 channel digital video recorder
diamond crystal,spices,12 0 x 12 0 x 4 0 inches,23971,http i walmartimages com i p 00 71 90 98 14 0071909814462 300x300 jpg, 10 grams each individual flat packets of pepper,14462, p ,1897,12 49,2,,,diamond crystal pepper packets 3000ct
startech,electronics general,12 99 x 9 92 x 0 39 inches,23972,http i walmartimages com i p 00 06 50 30 84 0006503084192 300x300 jpg,startech 20 displayport cable with latches m m supports dpcp standard in addition to hdcp molded latching connectors with strain relief connectors 2 x displayport male pvc cable jacket cable length 20,displport20l, li supports dpcp standard in addition to hdcp li molded latching connectors with strain relief li pvc cable jacket,1898,44,1 06,the startech 20 displayport cable with latches supports a maximum bandwidth of 10 8gbps and is capable of providing higher performance than either hdmi or dual link dvi and supporting next generation multimedia applications with a maximum resolution capability of up to wqxga 2560 x 1600 the cable features small usb sized latching connectors with support for two way display connectivity and optional audio support this 20 displayport cable is both hdcp and dpcp capable ensuring that digitally protected content is displayed properly on the connected display ,supports dpcp standard in addition to hdcp molded latching connectors with strain relief pvc cable jacket,startech 20 displayport cable with latches m m
startech,networking,10 0 x 8 6 x 7 5 inches,23973,http i walmartimages com i p 00 06 50 30 82 0006503082231 300x300 jpg,startech 4 drive 3 5 form factor sata hard drives plug and play and hot swappable,hsb430satbk, li holds up to 4 sata drives across three 5 25 quot bays li internal rubber shock absorbers li solid aluminum construction,1899,104,4 16,the startech 4 drive 3 5 drive bays inside a host computer maximizing space efficiency within the computer with support for sata hdd speeds up to 6gbps the mobile rack backplane is fully compatible with raid installations to ensure maximum performance and versatility for enhanced storage applications ,holds up to 4 sata drives across three 5 25 bays internal rubber shock absorbers solid aluminum construction,startech 4 drive 3 5 trayless hot swap sata mobile rack backplane
panasonic,printers,13 7 x 2 3 x 1 6 inches,23974,http i walmartimages com i p 00 03 79 88 84 0003798884056 300x300 jpg,panasonic kx fatc506 high yield cyan toner cartridge replacement toner cartridge color cyan page yield 4 000 compatible with models ks mc6020 and kx mc6040,kx fatc506, li replacement toner cartridge li color cyan li page yield 4 000,1900,89 84,0 88,the panasonic kx fatc506 high yield cyan toner cartridge has a high yield of 4 000 pages this toner is compatible with the following panasonic multi function printer models kx mc6020 and kx mc6040 ,replacement toner cartridge color cyan page yield 4 000,panasonic kx fatc506 high yield cyan toner cartridge
sanyo,television,43 88 x 29 38 x 10 63 inches,23975,http i walmartimages com i p 00 08 64 83 07 0008648307965 300x300 jpg,46 d 40 8 lbs design and specifications subject to change without notice,dp46841, li 46 quot screen measured diagonally from corner to corner li hdmi inputs 3 li wall mountable detachable base li 5000 1 dynamic contrast ratio,1901,578,50 15,the sanyo 46 diagonal full hd 1080p lcd model dp46841 with integrated atsc digital and ntsc analog tuner is the latest technology for the digital age the digital tuner is digital clear qam capable of receiving unscrambled digital cable in a high gloss black finish it blends into the background when the lights are dimmed for your movies sports and favorite programs in your den or living room having a full array of hdmi component audio video composite audio video and rf inputs you have plenty of options for dvd vcr cable satellite and external antenna hookups a coaxial digital audio output allows hookup to a home entertainment receiver amplifier system for theater like sound additional pc mac input allows alternative use as a computer monitor a usb input allows photo viewer display of jpeg photos with a thin space saving design and small footprint it can be positioned anywhere ,46 screen measured diagonally from corner to corner hdmi inputs 3 wall mountable detachable base 5000 1 dynamic contrast ratio,sanyo 46 class lcd 1080p 60hz hdtv dp46841
inland,monitors,32 7 x 17 7 x 6 2 inches,23976,http i walmartimages com i p 00 01 24 05 05 0001240505321 300x300 jpg,inland pro dual lcd monitor arm supports flat panel displays vesa standard 75mm x 75mm 100mm x 100mm c clamp for desktop mounting color black,5321, li supports flat panel displays li vesa standard 75mm x 75mm 100mm x 100mm li c clamp for desktop mounting,1902,89,17 6,the inland pro dual lcd monitor arm is designed to support two screens from one pole ,supports flat panel displays vesa standard 75mm x 75mm 100mm x 100mm c clamp for desktop mounting,inland pro dual lcd monitor arm black
solo,electronics general,17 0 x 14 0 x 4 0 inches,23977,http i walmartimages com i p 00 03 09 18 21 0003091821004 300x300 jpg,,b100solo,ballistic rolling case with padded computer pocket that holds 15 4 quot laptops,1903,58 88,6 35,ballistic rolling case with padded computer pocket that holds 15 4 laptops zip down organizer compartment accordion fan file 2 large file organizers telescoping handle system extra wide wheels for stability,ballistic rolling case with padded computer pocket that holds 15 4 laptops,solo 15 4 rolling laptop portfolio black
microsoft,computers,18 8 x 13 6 x 4 8 inches,23978,http i walmartimages com i p 00 05 03 62 39 0005036239203 300x300 jpg,constructed of 1680d nylon with a gray accent stripe and brushed nickel branding elements removable padded case has outside pocket and handles holds laptops up to 15 4 telescopick trolley system with rubberized handle zips into case when not in use outside back pocket for boarding pass,39203,holds laptops up to 15 4 quot with an adjustable divider to secure smaller sizes,1904,102 88,7,,holds laptops up to 15 4 with an adjustable divider to secure smaller sizes,microsoft laptop roller bag destination
peerless,furniture,,23979,http i walmartimages com i mp 00 73 50 29 25 0073502925489 p255045 300x300 jpg,pe1276 the new paramount series from peerless offers many mounting solutions for all your home entertainment needs features fits most flat panels 32 to 60 one touch tilt for effortless adjustment adjustable 15 forward and 5 backward tilt for finding the optimal viewing angle easy locking handle locks the screens position into place without the use of tools includes sorted for you fastener packs for installation to wood studs concrete and cinder block low profile open wall plate design allows for total acces and a wide array of cable management options universal mounting brackets hook onto the wall plate for quick easy and safe installation high gloss black specifications increlok feature offers fixed tilts at 5 0 5 10 and 15 increments horizontal adjustment of up to 8 depending on screen model screen held only 2 5 from wall 200 lbs weight capacity need professional installation use the or the give us a call with any questions,,the new paramount series from peerless offers many mounting solutions for all your home entertainment needs features fits most flat panels 32 to 60 one touch tilt for effortless adjustment adjustable 15 forward and 5 backward tilt for finding the optimal viewing angle easy locking handle locks the screens position into place without the use of tools includes sorted for you fastener packs for installation to wood studs concrete and cinder block low profile open wall plate design allows for total acces and a wide array of cable management options universal mounting brackets hook onto the wall plate for quick easy and safe installation high gloss black specifications increlok feature offers fixed tilts at 5 0 5 10 and 15 increments horizontal adjustment of up to 8 depending on screen model screen held only 2 5 from wall 200 lbs weight capacity pt660 installation instructions need professional installation use the flat panel mount installation card for up to 30 screens or the large flat panel mount installation card for over 30 screens give us a call with any questions ,1905,89 99,11,,the new paramount series from peerless offers many mounting solutions for all your home entertainment needs features fits most flat panels 32 to 60 one touch tilt for effortless adjustment adjustable 15 forward and 5 backward tilt for finding the optimal viewing angle easy locking handle locks the screens position into place without the use of tools includes sorted for you fastener packs for installation to wood studs concrete and cinder block low profile open wall plate design allows for total acces and a wide array of cable management options universal mounting brackets hook onto the wall plate for quick easy and safe installation high gloss black specifications increlok feature offers fixed tilts at 5 0 5 10 and 15 increments horizontal adjustment of up to 8 depending on screen model screen held only 2 5 from wall 200 lbs weight capacity pt660 installation instructions need professional installation use the flat panel mount installation card for up to 30 screens or the large flat panel mount installation card for over 30 screens give us a call with any questions,peerless paramount universal tilting lcd plasma wall mount 32 to 60 screens
ocz technologies,hard drives,7 13 x 4 92 x 0 85 inches,23980,http i walmartimages com i p 00 84 20 24 02 0084202402539 300x300 jpg,ocz technology 110gb revodrive pci express solid state drive capacity 110gb pci express interface read speed up to 530mbps write speed up to 435mbps,oczssdpx1rvd110, li capacity 110gb li read speed up to 530mbps li write speed up to 435mbps,1906,429 99,0 23,focusing on both performance and affordability for consumers the revodrive pci express ssd is designed to accommodate a wide range of computing environments beyond everyday use to video editing and other multi media creation and management applications ,capacity 110gb read speed up to 530mbps write speed up to 435mbps,ocz technology 110gb revodrive pci express solid state drive
apc,computers,14 0 x 7 6 x 2 4 inches,23981,http i walmartimages com i p 00 73 13 04 24 0073130424903 300x300 jpg,phone line splitter allows use of two pieces of equipment at once such as a modem and phone resettable circuit breaker provides easy recovery from overloads receptacle shock safety shutters protect you from accidental contact with unused outlets fail safe mode disconnects equipment from the power supply ensuring that no damaging surges reach your equipment data line protection ensures complete protection of your equipment from surges protection working indicator warns you if its circuitry has been damaged by heavy strike or power line surge catastrophic event protection ensures instantaneous reaction to lightning strikes and wiring faults transformer block spacing allows you to connect bulky transformer block plugs without covering up other outlets overload indicator illuminates when connected equipment draws more power than unit s capacity filters out emi rfi line noise that can cause data errors and keyboard lockups right angle plug allows for equipment and furniture to be placed closer to the wall 180 degree rotating cord with strain relief offers convenient placement building wiring fault indicator informs users of potentially dangerous wiring problems in the wall circuit adjustable cable management keeps cords and cables neat and organized lightning and surge protection prevents damage to your equipment from power surges and spikes complies with local agency safety requirements including ul in north america and ce kema gost c tick a tick telepermit in their respective regions ,p11vt3, ul li phone line splitter li li fail safe mode ensures that no damaging surges reach your equipment li li data line protection li ul ,1907,27 88,2 9,the american power conversion 11 outlet 2375j surge p11vt3 protects your sensitive electronics it provides maximum protection and convenience for computers notebooks and other electronics it even offers phone line with splitter and coaxial protection with surgearrest performance you can rest assured that your electronics are safe ,phone line splitter fail safe mode ensures that no damaging surges reach your equipment data line protection,apc performance surgearrest 11 outlet with phone splitter and coax protection 120v
corsair,memory,6 5 x 5 25 x 0 25 inches,23982,http i walmartimages com i p 00 84 35 91 00 0084359100624 300x300 jpg,xms3 4gb ddr3 sdram memory module number of modules 2 x 2gb form factor 240 pin dimm memory speed 1600mhz all modules use jedec compliant six layer,cmx4gx3m2a1600c8, ul li xms3 4gb ddr3 sdram memory module li number of modules 2 x 2gb li form factor 240 pin dimm li memory speed 1600mhz li all modules use jedec compliant six layer ul ,1908,69 82,0 24,corsair cmx4gx3m2a1600c8 xms3 4 gb pc3 12800 core i5 memory kit,xms3 4gb ddr3 sdram memory module number of modules 2 x 2gb form factor 240 pin dimm memory speed 1600mhz all modules use jedec compliant six layer,corsair cmx4gx3m2a1600c8 xms3 4 gb pc3 12800 core i5 memory kit
middle atlantic,tv accessories,,23983,http i walmartimages com i mp 00 65 67 47 07 0065674707496 p255045 300x300 jpg,df3017features thermostatic proportional fan control 100 cfm cooling capacity tasteful subdued temperature and alert display provides instant system status on board digital processor varies fan speed based on equipment temperature which is monitored via external sensor notification system in the event of external sensor failure local and remote notification of over temperature and fan fault to control system available with a black brushed and anodized or silver brushed and anodized finish of fans free air rating max sound level finish racking height 4 fans 100 cfm 27 db black 3 1 2 2u space 4 fans 100 cfm 27 db silver 3 1 2 2u space,uqfp 4dra,features thermostatic proportional fan control 100 cfm cooling capacity tasteful subdued temperature and alert display provides instant system status on board digital processor varies fan speed based on equipment temperature which is monitored via external sensor notification system in the event of external sensor failure local and remote notification of over temperature and fan fault to control system available with a black brushed and anodized or silver brushed and anodized finish uqfp series specifications of fans free air rating max sound level finish racking height 4 fans 100 cfm 27 db black 3 1 2 2u space 4 fans 100 cfm 27 db silver 3 1 2 2u space ,1909,525,5,,features thermostatic proportional fan control 100 cfm cooling capacity tasteful subdued temperature and alert display provides instant system status on board digital processor varies fan speed based on equipment temperature which is monitored via external sensor notification system in the event of external sensor failure local and remote notification of over temperature and fan fault to control system available with a black brushed and anodized or silver brushed and anodized finish uqfp series specifications of fans free air rating max sound level finish racking height 4 fans 100 cfm 27 db black 3 1 2 2u space 4 fans 100 cfm 27 db silver 3 1 2 2u space,middle atlantic designer inspired ultra quiet fan panel
verbatim,mp3 accessories,4 86 x 4 86 x 3 06 inches,23984,http i walmartimages com i p 00 02 39 42 95 0002394295137 300x300 jpg,dvd r 1x 16x dvd recording speed full color high resolution photo quality printing superior ink absorption crisp clear text reproduction metal azo recording dye optimizes read write performance,95137, ul li dvd r li li 1x 16x dvd recording speed li li full color high resolution photo quality printing li ul ,1910,19 98,1 95,the verbatim 16x dvd r media 50 disc package features a 1x 16x dvd recording speed with a 4 7gb storage capacity and superior archival live you can trust verbatim for you data storage ,dvd r 1x 16x dvd recording speed full color high resolution photo quality printing,verbatim 95137 16x dvd r media
sigma,camera and camcorder accessories,4 0 x 3 1 x 3 1 inches,23985,http i walmartimages com i p 00 08 51 26 88 0008512688055 300x300 jpg,technical information focal length 18mm 250mm filter attachment diameter 72 mm lens construction 18 elements in 14 groups viewing angle 69 3 5 7 degrees physical characteristics weight 630g 22 2 oz dimensions diameter 79mm x length 101mm 3 1 in x 4 in miscellaneous compatibility nikon digital slr cameras,880306, li focal length 18mm 250mm li li lens construction 18 elements in 14 groups li compatibility nikon digital slr cameras,1911,478,1 39,the sigma 18 250mm zoom lens incorporates sigma s original anti shake compensation function with a 13 8x zoom ratio as opposed to having an anti shake function in the camera body this lens s hybrid optical stabilizer provides not only an anti shake function for the camera body but also compensates for image shaking in the view finder as the optical stabilizer is built in to the lens incorporating four special low dispersion glass elements and three aspherical lens elements provides excellent image quality throughout the entire zoom range this lens has a minimum focusing distance of 45cm 17 7 inches at all focal lengths and a maximum magnification of 1 3 4 reproduction ratio making it ideal for close up photography an inner focusing system eliminates front lens rotation making it suitable for use with circular polarizing filters and the supplied petal type hood incorporating super multi layer coating reduce the ghost in the backlight photography ,focal length 18mm 250mm lens construction 18 elements in 14 groups compatibility nikon digital slr cameras,sigma 18 250mm zoom lens for nikon digital slr cameras 880306
draper,electronics general,,23986,http i walmartimages com i mp 00 64 10 92 16 0064109216395 p255045 300x300 jpg,dr4063with the salara plug play you can have a remote controlled motorized screen on your wall in 10 minutes no electrician required the salara series makes a design statement with its small elliptical case and domed endcaps finished in solid white features no wiring necessary comes with 10 power cord built in ir receiver and ir remote rs232 compatible mounts flush to the wall or ceiling with floating brackets on the back of the case case dimensions are 3 13 16 h x 5 5 16 d warranted for 1 year against defects in materials and workmanship need mounting brackets carrying cases or other screen accessories shop our selection call us with any questions,136079,with the salara plug amp play you can have a remote controlled motorized screen on your wall in 10 minutes no electrician required the salara series makes a design statement with its small elliptical case and domed endcaps finished in solid white features no wiring necessary comes with 10 power cord built in ir receiver and ir remote rs232 compatible mounts flush to the wall or ceiling with floating brackets on the back of the case case dimensions are 3 13 16 h x 5 5 16 d warranted for 1 year against defects in materials and workmanship installation instructions need mounting brackets carrying cases or other screen accessories shop our selection call us with any questions view all screen accessories,1912,798 45,40,,with the salara plug play you can have a remote controlled motorized screen on your wall in 10 minutes no electrician required the salara series makes a design statement with its small elliptical case and domed endcaps finished in solid white features no wiring necessary comes with 10 power cord built in ir receiver and ir remote rs232 compatible mounts flush to the wall or ceiling with floating brackets on the back of the case case dimensions are 3 13 16 h x 5 5 16 d warranted for 1 year against defects in materials and workmanship installation instructions need mounting brackets carrying cases or other screen accessories shop our selection call us with any questions view all screen accessories,draper matte white salara plug and play electric screen av format 72 x 96
